invoice_id,line_number,description,quantity,unit_price,line_total
INV000162,1,Printer Toner,122,30.25,3690.03
INV000163,1,Courier Services,6,2954.23,17725.36
INV000164,1,Legal Advisory,43,961.75,41355.28
INV000165,1,Generator Servicing,28,535.77,15001.53
INV000166,1,Storage Cabinet,5,4772.84,23864.19
INV000167,1,Whiteboard Supplies,115,35.7,4105.87
INV000168,1,27 Inch Monitor,2,62357.0,124714.01
INV000169,1,Conference Table,20,1549.07,30981.39
INV000170,1,Storage Cabinet,11,4604.76,50652.31
INV000171,1,27 Inch Monitor,4,13404.32,53617.29
INV000172,1,27 Inch Monitor,2,85174.84,170349.67
INV000173,1,Courier Services,21,839.43,17628.09
INV000174,1,Generator Servicing,9,3487.0,31383.04
INV000175,1,Office Desk,8,1897.58,15180.62
INV000176,1,Keyboard and Mouse,9,4682.49,42142.37
INV000177,1,Steel Components,388,275.87,107036.3
INV000178,1,Training Services,41,1360.01,55760.34
INV000179,1,Pens and Stationery,35,162.0,5670.0
INV000180,1,Office Sofa,11,2428.7,26715.67
INV000181,1,Generator Servicing,18,977.04,17586.79
INV000182,1,Conference Table,6,6338.94,38033.61
INV000183,1,Network Switch,2,25158.94,50317.88
INV000184,1,Storage Cabinet,20,1126.12,22522.31
INV000185,1,Printer Paper,113,61.06,6899.66
INV000186,1,Whiteboard Supplies,118,23.87,2816.26
INV000187,1,Machine Spare Parts,287,425.02,121979.42
INV000188,1,Freight Charges,22,469.23,10322.98
INV000189,1,Training Services,40,874.88,34995.2
INV000190,1,Electrical Repairs,2,6852.62,13705.25
INV000191,1,Generator Servicing,50,438.92,21946.1
INV000192,1,Audit Services,44,3365.81,148095.48
INV000193,1,Steel Components,204,525.14,107128.05
INV000194,1,27 Inch Monitor,7,30663.39,214643.7
INV000195,1,Storage Cabinet,16,1843.09,29489.47
INV000196,1,Keyboard and Mouse,8,18649.87,149198.96
INV000197,1,Printer Toner,108,45.82,4948.56
INV000198,1,Training Services,31,4366.43,135359.44
INV000199,1,Printer Toner,79,66.67,5267.0
INV000200,1,Pens and Stationery,187,24.46,4574.59
INV000201,1,Keyboard and Mouse,2,33076.62,66153.24
INV000202,1,Training Services,26,2043.86,53140.39
INV000203,1,Hydraulic Pumps,245,452.39,110836.3
INV000204,1,Freight Charges,47,888.09,41740.45
INV000205,1,Office Sofa,20,753.21,15064.13
INV000206,1,Steel Components,171,961.77,164462.76
INV000207,1,Storage Cabinet,19,1772.69,33681.09
INV000208,1,Generator Servicing,11,3016.82,33185.02
INV000209,1,Assembly Materials,332,257.06,85345.37
INV000210,1,Printer Paper,134,29.65,3973.25
INV000211,1,Legal Advisory,35,2702.49,94587.03
INV000212,1,Firewall License,4,4239.12,16956.5
INV000213,1,Office Desk,9,2498.17,22483.55
INV000214,1,Conference Table,16,2244.0,35904.07
INV000215,1,Training Services,6,19327.39,115964.36
INV000216,1,Office Sofa,1,28771.05,28771.05
INV000217,1,Dell Laptop,6,5112.44,30674.64
INV000218,1,Network Switch,10,1954.97,19549.72
INV000219,1,Freight Charges,50,497.64,24882.01
INV000220,1,Warehouse Rental,34,488.63,16613.33
INV000221,1,27 Inch Monitor,8,13503.16,108025.3
INV000222,1,Audit Services,12,3868.21,46418.5
INV000223,1,Assembly Materials,311,342.11,106396.47
INV000224,1,Office Desk,12,2798.29,33579.46
INV000225,1,Industrial Bearings,206,266.07,54811.39
INV000226,1,Courier Services,45,1007.49,45337.16
INV000227,1,Database License,35,1231.53,43103.64
INV000228,1,Storage Cabinet,11,3396.43,37360.77
INV000229,1,Training Services,36,1517.12,54616.24
INV000230,1,HVAC Servicing,36,623.61,22450.13
INV000231,1,Whiteboard Supplies,159,16.89,2685.5
INV000232,1,Printer Paper,181,45.24,8187.99
INV000233,1,Printer Paper,144,36.91,5315.01
INV000234,1,Generator Servicing,45,270.33,12165.01
INV000235,1,Printer Paper,110,27.0,2970.43
INV000236,1,Microsoft 365 License,44,245.64,10808.2
INV000237,1,27 Inch Monitor,1,40938.01,40938.01
INV000238,1,Office Desk,19,1527.99,29031.72
INV000239,1,Office Desk,19,3318.47,63051.0
INV000240,1,Machine Spare Parts,486,363.7,176760.19
INV000241,1,Server Hardware,10,6305.06,63050.64
INV000242,1,Generator Servicing,25,480.21,12005.34
INV000243,1,Storage Cabinet,5,14609.18,73045.9
INV000244,1,Hydraulic Pumps,238,652.1,155199.02
INV000245,1,Legal Advisory,36,2939.89,105835.95
INV000246,1,Network Switch,9,14151.21,127360.92
INV000247,1,Industrial Bearings,185,865.81,160175.09
INV000248,1,Office Chairs,177,24.56,4346.25
INV000249,1,Machine Maintenance,22,1341.82,29520.12
INV000250,1,Whiteboard Supplies,101,39.4,3979.53
INV000251,1,Transportation Charges,37,429.82,15903.44
INV000252,1,Industrial Bearings,309,270.57,83605.35
INV000253,1,Electrical Repairs,29,711.93,20645.98
INV000254,1,Office Desk,18,1239.89,22318.03
INV000255,1,HVAC Servicing,42,395.22,16599.06
INV000256,1,Pens and Stationery,152,25.28,3843.02
INV000257,1,Office Sofa,1,26142.35,26142.35
INV000258,1,Pens and Stationery,72,23.87,1718.38
INV000259,1,Steel Components,463,120.07,55593.91
INV000260,1,27 Inch Monitor,7,4339.29,30375.0
INV000261,1,Office Chairs,171,45.43,7768.0
INV000262,1,Printer Toner,103,28.75,2961.65
INV000263,1,Conference Table,4,10299.67,41198.68
INV000264,1,Printer Toner,81,22.11,1791.17
INV000265,1,Keyboard and Mouse,7,7177.83,50244.8
INV000266,1,Server Hardware,6,15455.54,92733.23
INV000267,1,Courier Services,44,494.25,21746.82
INV000268,1,Network Switch,5,29560.65,147803.27
INV000269,1,Technical Consulting,8,11526.22,92209.75
INV000270,1,Dell Laptop,1,25749.53,25749.53
INV000271,1,Keyboard and Mouse,10,3363.06,33630.58
INV000272,1,Training Services,18,5156.86,92823.46
INV000273,1,Network Switch,7,10940.02,76580.15
INV000274,1,Machine Spare Parts,446,120.79,53871.36
INV000275,1,Office Sofa,17,3703.99,62967.87
INV000276,1,Legal Advisory,43,1819.69,78246.7
INV000277,1,Legal Advisory,19,2161.72,41072.77
INV000278,1,Legal Advisory,8,19202.0,153616.02
INV000279,1,Server Hardware,5,12520.68,62603.39
INV000280,1,Transportation Charges,45,443.71,19966.78
INV000281,1,Dell Laptop,4,28375.74,113502.94
INV000282,1,Transportation Charges,15,1410.35,21155.21
INV000283,1,Machine Spare Parts,446,404.91,180589.22
INV000284,1,Printer Paper,177,24.04,4255.3
INV000285,1,Industrial Bearings,261,768.91,200686.76
INV000286,1,Pens and Stationery,152,15.0,2280.25
INV000287,1,Keyboard and Mouse,8,6287.36,50298.91
INV000288,1,Printer Paper,159,54.19,8615.46
INV000289,1,Warehouse Rental,4,5936.74,23746.95
INV000290,1,Industrial Bearings,374,356.55,133349.47
INV000291,1,Printer Toner,103,58.13,5987.84
INV000292,1,Industrial Bearings,332,631.27,209581.23
INV000293,1,Cloud Subscription,32,1320.26,42248.23
INV000294,1,Server Hardware,7,6644.36,46510.55
INV000295,1,Printer Toner,147,28.62,4207.44
INV000296,1,Steel Components,479,287.25,137593.15
INV000297,1,Freight Charges,3,13308.03,39924.09
INV000298,1,Transportation Charges,5,2384.53,11922.66
INV000299,1,Printer Toner,92,36.99,3403.21
INV000300,1,Office Sofa,19,1666.28,31659.33
INV000301,1,Network Switch,1,190365.85,190365.85
INV000302,1,27 Inch Monitor,5,8798.93,43994.64
INV000303,1,Warehouse Rental,15,3337.43,50061.5
INV000304,1,Conference Table,19,2592.74,49262.01
INV000305,1,Conference Table,11,774.64,8521.07
INV000306,1,Training Services,7,24688.88,172822.17
INV000307,1,Office Desk,15,3305.14,49577.14
INV000308,1,Office Desk,8,12587.19,100697.5
INV000309,1,Firewall License,48,1105.73,53075.16
INV000310,1,Printer Paper,70,59.03,4132.08
INV000311,1,Office Chairs,70,37.05,2593.38
INV000312,1,27 Inch Monitor,10,6179.61,61796.06
INV000313,1,Transportation Charges,18,1338.86,24099.52
INV000314,1,Assembly Materials,144,1629.11,234591.56
INV000315,1,Server Hardware,6,6759.8,40558.78
INV000316,1,Storage Cabinet,11,2415.81,26573.86
INV000317,1,Storage Cabinet,4,5502.85,22011.41
INV000318,1,HVAC Servicing,12,1570.26,18843.1
INV000319,1,Generator Servicing,20,902.37,18047.48
INV000320,1,Audit Services,22,4718.45,103805.81
INV000321,1,Dell Laptop,3,25102.02,75306.07
INV000322,1,Office Sofa,6,5057.04,30342.23
INV000323,1,Machine Maintenance,20,466.16,9323.2
INV000324,1,Office Desk,20,1051.33,21026.68
INV000325,1,Printer Toner,101,26.62,2689.01
INV000326,1,Dell Laptop,5,17291.3,86456.48
INV000327,1,Assembly Materials,279,554.11,154597.04
INV000328,1,Dell Laptop,1,93739.92,93739.92
INV000329,1,Technical Consulting,39,2135.75,83294.14
INV000330,1,Storage Cabinet,7,12827.56,89792.93
INV000331,1,Transportation Charges,36,409.38,14737.68
INV000332,1,Warehouse Rental,7,7141.29,49989.01
INV000333,1,Freight Charges,43,680.82,29275.07
INV000334,1,Server Hardware,8,24284.57,194276.56
INV000335,1,Audit Services,43,827.89,35599.1
INV000336,1,Office Sofa,16,1118.82,17901.18
INV000337,1,Machine Maintenance,49,369.96,18127.83
INV000338,1,Training Services,41,508.1,20832.25
INV000339,1,Whiteboard Supplies,90,70.29,6326.17
INV000340,1,Dell Laptop,10,3539.11,35391.09
INV000341,1,Steel Components,296,250.11,74031.32
INV000342,1,Conference Table,13,2224.23,28914.99
INV000343,1,Steel Components,255,469.6,119748.44
INV000344,1,Network Switch,7,4473.21,31312.46
INV000345,1,Office Desk,2,25655.36,51310.72
INV000346,1,Generator Servicing,13,1651.04,21463.57
INV000347,1,Office Desk,12,4544.36,54532.32
INV000348,1,Industrial Bearings,342,344.86,117941.53
INV000349,1,Audit Services,11,4796.07,52756.78
INV000350,1,Conference Table,1,27550.2,27550.2
INV000351,1,Training Services,25,1272.62,31815.4
INV000352,1,Training Services,7,3367.45,23572.17
INV000353,1,HVAC Servicing,21,472.94,9931.68
INV000354,1,Pens and Stationery,101,13.68,1381.88
INV000355,1,HVAC Servicing,46,368.04,16929.67
INV000356,1,Industrial Bearings,187,552.53,103322.53
INV000357,1,Printer Toner,105,25.67,2695.55
INV000358,1,27 Inch Monitor,10,13261.76,132617.64
INV000359,1,Dell Laptop,7,10625.36,74377.5
INV000360,1,Transportation Charges,21,1044.11,21926.26
INV000361,1,ERP Subscription,29,1236.69,35863.9
INV000362,1,Courier Services,28,1184.03,33152.82
INV000363,1,Steel Components,487,124.7,60729.66
INV000364,1,Network Switch,2,30446.24,60892.49
INV000365,1,Legal Advisory,44,1149.37,50572.21
INV000366,1,Cloud Subscription,15,3155.17,47327.48
INV000367,1,Machine Spare Parts,427,152.41,65079.54
INV000368,1,Assembly Materials,294,342.81,100785.71
INV000369,1,Office Sofa,17,1571.94,26722.96
INV000370,1,Whiteboard Supplies,70,101.73,7121.17
INV000371,1,Printer Toner,147,18.79,2762.71
INV000372,1,Dell Laptop,10,6099.32,60993.23
INV000373,1,Office Desk,10,3699.24,36992.45
INV000374,1,Technical Consulting,48,1965.8,94358.39
INV000375,1,Freight Charges,6,1853.44,11120.67
INV000376,1,Dell Laptop,8,7988.03,63904.23
INV000377,1,Whiteboard Supplies,165,17.02,2808.96
INV000378,1,Printer Paper,48,23.64,1134.59
INV000379,1,Electrical Repairs,22,381.25,8387.43
INV000380,1,Steel Components,385,313.44,120674.0
INV000381,1,HVAC Servicing,49,330.73,16205.57
INV000382,1,Whiteboard Supplies,80,59.07,4725.28
INV000383,1,Pens and Stationery,187,19.23,3596.49
INV000384,1,HVAC Servicing,36,297.83,10721.75
INV000385,1,Warehouse Rental,50,221.86,11092.78
INV000386,1,Whiteboard Supplies,107,16.46,1761.46
INV000387,1,Conference Table,14,1519.91,21278.74
INV000388,1,Legal Advisory,49,1772.47,86850.85
INV000389,1,Freight Charges,28,2313.34,64773.65
INV000390,1,Storage Cabinet,13,1689.51,21963.62
INV000391,1,Whiteboard Supplies,174,21.23,3693.77
INV000392,1,Hydraulic Pumps,276,261.18,72086.36
INV000393,1,HVAC Servicing,31,446.58,13843.97
INV000394,1,Storage Cabinet,2,16304.44,32608.89
INV000395,1,Dell Laptop,9,3620.98,32588.81
INV000396,1,Legal Advisory,43,668.08,28727.56
INV000397,1,Conference Table,15,3586.03,53790.5
INV000398,1,Office Sofa,6,7099.06,42594.34
INV000399,1,Server Hardware,10,13293.67,132936.73
INV000400,1,27 Inch Monitor,10,4644.03,46440.3
INV000401,1,Pens and Stationery,153,43.26,6618.92
INV000402,1,Warehouse Rental,43,676.49,29088.99
INV000403,1,Machine Spare Parts,442,173.25,76577.99
INV000404,1,Warehouse Rental,35,1000.82,35028.6
INV000405,1,Steel Components,198,740.85,146687.95
INV000406,1,Microsoft 365 License,41,1514.26,62084.63
INV000407,1,Generator Servicing,30,339.9,10196.87
INV000408,1,Courier Services,15,549.37,8240.54
INV000409,1,Office Desk,4,6654.7,26618.8
INV000410,1,Assembly Materials,144,650.63,93690.56
INV000411,1,Freight Charges,48,422.1,20260.72
INV000412,1,Transportation Charges,3,8456.39,25369.17
INV000413,1,Audit Services,12,5882.15,70585.83
INV000414,1,Storage Cabinet,18,2970.14,53462.56
INV000415,1,Transportation Charges,42,640.45,26898.99
INV000416,1,Industrial Bearings,399,191.1,76248.55
INV000417,1,Database License,48,882.9,42379.35
INV000418,1,Freight Charges,20,2579.56,51591.26
INV000419,1,Technical Consulting,41,1809.43,74186.53
INV000420,1,Network Switch,9,10213.55,91921.94
INV000421,1,Assembly Materials,337,288.57,97249.7
INV000422,1,Hydraulic Pumps,363,188.26,68337.49
INV000423,1,Generator Servicing,15,635.11,9526.69
INV000424,1,Printer Paper,112,39.71,4447.38
INV000425,1,Electrical Repairs,48,238.79,11462.04
INV000426,1,27 Inch Monitor,9,11988.99,107900.87
INV000427,1,Machine Maintenance,15,1505.71,22585.69
INV000428,1,Dell Laptop,4,14617.95,58471.81
INV000429,1,Conference Table,14,2376.26,33267.7
INV000430,1,Machine Maintenance,10,2482.65,24826.47
INV000431,1,27 Inch Monitor,4,7319.61,29278.43
INV000432,1,Training Services,43,2282.94,98166.59
INV000433,1,Freight Charges,7,2373.13,16611.93
INV000434,1,Office Desk,18,1811.49,32606.78
INV000435,1,Machine Spare Parts,315,608.3,191613.27
INV000436,1,Courier Services,48,617.12,29621.73
INV000437,1,Industrial Bearings,406,244.7,99349.42
INV000438,1,Server Hardware,1,55718.26,55718.26
INV000439,1,Keyboard and Mouse,9,4095.98,36863.84
INV000440,1,Training Services,24,1836.16,44067.92
INV000441,1,Legal Advisory,43,2620.7,112690.16
INV000442,1,Network Switch,9,11863.98,106775.85
INV000443,1,Network Switch,7,21735.67,152149.71
INV000444,1,Machine Maintenance,42,504.86,21203.98
INV000445,1,Audit Services,3,46069.67,138209.02
INV000446,1,Firewall License,18,4364.46,78560.3
INV000447,1,Training Services,36,1471.4,52970.34
INV000448,1,Machine Spare Parts,189,218.24,41248.02
INV000449,1,Assembly Materials,394,367.28,144708.99
INV000450,1,Pens and Stationery,137,20.91,2864.89
INV000451,1,Firewall License,45,795.98,35819.31
INV000452,1,Transportation Charges,6,8904.98,53429.9
INV000453,1,Assembly Materials,237,265.82,62999.87
INV000454,1,Freight Charges,16,1600.88,25614.04
INV000455,1,27 Inch Monitor,1,68865.29,68865.29
INV000456,1,Assembly Materials,193,505.37,97536.26
INV000457,1,Legal Advisory,35,2314.9,81021.64
INV000458,1,Office Sofa,1,19898.72,19898.72
INV000459,1,Pens and Stationery,160,7.64,1223.04
INV000460,1,Assembly Materials,458,387.36,177411.11
INV000461,1,Legal Advisory,7,7265.81,50860.65
INV000462,1,Audit Services,1,65105.65,65105.65
INV000463,1,Assembly Materials,387,436.34,168863.43
INV000464,1,Printer Toner,181,11.44,2070.55
INV000465,1,Audit Services,23,876.72,20164.47
INV000466,1,Electrical Repairs,48,574.17,27560.33
INV000467,1,Transportation Charges,41,593.9,24349.94
INV000468,1,Industrial Bearings,249,824.1,205202.08
INV000469,1,Storage Cabinet,1,32474.84,32474.84
INV000470,1,Courier Services,31,591.4,18333.51
INV000471,1,Printer Toner,187,23.7,4431.32
INV000472,1,Technical Consulting,34,2370.38,80592.77
INV000473,1,Keyboard and Mouse,8,9256.07,74048.55
INV000474,1,Pens and Stationery,143,18.35,2623.85
INV000475,1,Industrial Bearings,100,764.75,76475.04
INV000476,1,Audit Services,1,31585.21,31585.21
INV000477,1,Office Sofa,8,4368.16,34945.31
INV000478,1,Warehouse Rental,49,396.23,19415.43
INV000479,1,Office Sofa,10,4623.79,46237.89
INV000480,1,Conference Table,2,14298.85,28597.7
INV000481,1,Cloud Subscription,6,4890.56,29343.35
INV000482,1,Technical Consulting,45,2048.74,92193.52
INV000483,1,Electrical Repairs,31,796.05,24677.64
INV000484,1,Machine Maintenance,3,4026.78,12080.35
INV000485,1,Pens and Stationery,160,23.46,3753.84
INV000486,1,Steel Components,220,792.66,174385.83
INV000487,1,Audit Services,38,1073.08,40777.0
INV000488,1,Dell Laptop,10,5740.07,57400.65
INV000489,1,27 Inch Monitor,9,28009.26,252083.32
INV000490,1,ERP Subscription,32,665.47,21295.13
INV000491,1,Dell Laptop,8,8714.76,69718.09
INV000492,1,Freight Charges,1,27616.97,27616.97
INV000493,1,Hydraulic Pumps,469,209.87,98427.02
INV000494,1,Technical Consulting,42,2007.17,84301.21
INV000495,1,Assembly Materials,198,757.88,150061.16
INV000496,1,Firewall License,46,929.14,42740.33
INV000497,1,Machine Spare Parts,288,415.59,119689.19
INV000498,1,Office Desk,7,8208.2,57457.38
INV000499,1,Technical Consulting,41,372.19,15259.84
INV000500,1,Machine Spare Parts,185,422.14,78096.3
INV000501,1,Training Services,24,3243.11,77834.57
INV000502,1,Generator Servicing,29,719.63,20869.21
INV000503,1,Training Services,20,5959.4,119187.91
INV000504,1,Keyboard and Mouse,3,20090.36,60271.08
INV000505,1,Technical Consulting,26,2354.2,61209.12
INV000506,1,Steel Components,428,251.53,107655.59
INV000507,1,ERP Subscription,8,3598.42,28787.35
INV000508,1,Machine Spare Parts,376,324.1,121861.18
INV000509,1,Conference Table,20,2298.28,45965.6
INV000510,1,Courier Services,31,362.5,11237.48
INV000511,1,Firewall License,9,5217.27,46955.42
INV000512,1,Industrial Bearings,136,885.47,120423.5
INV000513,1,Technical Consulting,23,2670.19,61414.44
INV000514,1,Cloud Subscription,3,10729.57,32188.71
INV000515,1,Microsoft 365 License,10,6316.72,63167.19
INV000516,1,Hydraulic Pumps,207,493.28,102108.41
INV000517,1,Generator Servicing,45,284.99,12824.37
INV000518,1,Steel Components,338,307.1,103798.49
INV000519,1,Transportation Charges,42,677.82,28468.48
INV000520,1,Warehouse Rental,46,420.56,19345.72
INV000521,1,Conference Table,12,1552.12,18625.38
INV000522,1,Office Chairs,27,219.83,5935.41
INV000523,1,Assembly Materials,295,452.61,133520.2
INV000524,1,Keyboard and Mouse,9,24481.81,220336.28
INV000525,1,Industrial Bearings,494,342.9,169391.53
INV000526,1,Legal Advisory,2,10075.7,20151.4
INV000527,1,Machine Spare Parts,194,948.43,183995.98
INV000528,1,Conference Table,1,69933.96,69933.96
