pair_id,invoice_id_a,invoice_id_b,vendor_id,amount_a,amount_b,amount_diff_pct,issue_date_a,issue_date_b,date_diff_days,either_is_fraud,fraud_category_a,fraud_category_b
DUP-00020,b84a3955-5336-4da7-a87d-6853782bc5e5,80c1568e-75d0-4653-8fd2-f979de4a556e,0c6c32c1-865a-4d4f-adee-b1b0dd19caf0,84349.24,83579.09,0.009172,2023-10-28,2023-10-30,2,False,clean,soft_anomaly
DUP-00021,bced4b85-2e1d-4752-b8a0-bf794aede7f0,4701aa3a-85bf-4135-9340-ffc18ee57d5c,0c6c32c1-865a-4d4f-adee-b1b0dd19caf0,64949.94,65506.72,0.008536,2023-11-02,2023-11-07,5,False,clean,clean
DUP-00022,8a4af15d-c76e-4072-921d-3b94bdafeba8,5224a3c1-586e-4e74-9733-7c19193c1d1b,0c6c32c1-865a-4d4f-adee-b1b0dd19caf0,19774.85,19684.01,0.004604,2024-05-04,2024-05-05,1,False,clean,clean
DUP-00023,05806af7-9acf-4f5b-93f5-f745e6775750,70937528-69b3-41dd-b043-9ec777a58f85,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,7890.94,7964.69,0.009303,2022-01-13,2022-01-20,7,False,clean,clean
DUP-00024,2ea347be-032c-46e2-a653-7c98126e38d6,988fda49-79af-40f2-91a4-d2bdad1f576c,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,6980.39,7000.0,0.002805,2022-01-28,2022-02-02,5,False,clean,soft_anomaly
DUP-00025,ae508a1f-f369-4adf-b5fb-3c3e99b297c0,da536292-fd7b-4de4-86c3-e643fbc9022e,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,11982.24,11946.85,0.002958,2022-01-31,2022-02-06,6,False,clean,clean
DUP-00026,5d2d65fe-afe8-4d61-95cf-e96ba78c7a00,f679f32a-5555-4810-a392-388926419ce3,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,5955.21,5947.25,0.001338,2022-02-25,2022-03-04,7,False,clean,clean
DUP-00027,6fb44d5c-1940-4d87-9ef7-f75899f19ad7,be6df63c-4cbe-4e8f-8d67-9e5c66369203,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,5601.9,5591.75,0.001814,2022-02-28,2022-03-05,5,False,clean,clean
DUP-00028,88e4cbbe-4f60-4213-9b54-7cb4dd333dde,aaadfb57-0b48-43e8-ae3e-6ce503ddb219,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,3714.1,3738.34,0.006505,2022-03-01,2022-03-04,3,False,clean,clean
DUP-00029,f0f886d8-42a3-4e68-b5a7-d0e94aeef68e,b0f367ca-6d8a-4225-a668-f4911bd13892,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,5771.44,5824.52,0.009155,2022-04-02,2022-04-03,1,False,clean,clean
DUP-00030,12743433-a779-4871-a5d7-f4b7aec34640,f91c11a3-cac4-4b2c-a2d3-68ae5a8ee15c,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,6329.9,6335.86,0.000941,2022-04-11,2022-04-14,3,False,clean,soft_anomaly
DUP-00031,0729ebeb-03f4-4da1-bf1a-75775ad16552,017d3c31-03c9-45a3-867c-abf17be19e21,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,18202.74,18288.8,0.004717,2022-04-11,2022-04-14,3,False,clean,clean
DUP-00032,fe020e86-184e-4341-8b6b-a3e04286a414,c393aea1-c30a-4029-9ebe-679f2a9afa06,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,5005.67,5040.93,0.007019,2022-05-03,2022-05-07,4,False,clean,clean
DUP-00033,fe020e86-184e-4341-8b6b-a3e04286a414,6381596a-f3e3-4071-8d9d-51d0098790de,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,5005.67,5014.77,0.001816,2022-05-03,2022-05-09,6,False,clean,clean
DUP-00034,c393aea1-c30a-4029-9ebe-679f2a9afa06,6381596a-f3e3-4071-8d9d-51d0098790de,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,5040.93,5014.77,0.005203,2022-05-07,2022-05-09,2,False,clean,clean
DUP-00035,ea09ffa0-eaa7-4ca5-8be9-944c8ace892b,946a054f-e2d3-4148-a432-9c7ef33b6288,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,11687.36,11656.92,0.002608,2022-05-22,2022-05-24,2,False,clean,clean
DUP-00036,a2b59378-9d04-4340-985b-36bca4c66d20,bc912256-6d88-453a-a94d-a94477d71307,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,6678.96,6622.49,0.008491,2022-05-26,2022-05-30,4,False,clean,clean
DUP-00037,cc2142ff-6163-4801-9929-9c3c25df81e8,35e9e846-a133-41ea-8278-ae2f910695b2,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,6159.42,6100.05,0.009686,2022-05-26,2022-05-28,2,False,clean,clean
DUP-00038,d7afa4ae-7302-4afa-b48e-5f7eb9d64186,4fa5e8c6-2584-41c1-b584-a7e3480c1b59,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,32000.0,31999.99,0.0,2022-05-28,2022-06-02,5,True,duplicate,duplicate
DUP-00039,18f6d73e-a2be-43ad-a19b-b98d6d24b423,b83b5864-94c3-4d3e-b292-4affee99b198,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,5532.51,5561.56,0.005237,2022-05-29,2022-06-05,7,True,clean,duplicate
DUP-00040,773f86d2-327e-4577-8a57-663c09e90ba1,7fdf903d-05ab-4318-8fac-499126f76ae7,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,9033.71,9060.81,0.002995,2022-06-01,2022-06-05,4,False,clean,clean
DUP-00041,06493757-fe79-4a1a-99ba-75756828c92f,54b77af0-8fe1-4fa6-911d-afa3e48e412a,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,6364.68,6411.74,0.007367,2022-06-01,2022-06-02,1,False,soft_anomaly,clean
DUP-00042,aabd217c-01b1-4b39-9c28-6d765c90daa0,50effb9b-a3d7-4b3d-8a83-290c290c8e9e,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,6252.31,6254.08,0.000283,2022-06-05,2022-06-12,7,False,clean,clean
DUP-00043,b83b5864-94c3-4d3e-b292-4affee99b198,e163dcb5-5e01-44e3-a7f5-b19c55752762,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,5561.56,5561.55,2e-06,2022-06-05,2022-06-07,2,True,duplicate,duplicate
DUP-00044,b83b5864-94c3-4d3e-b292-4affee99b198,b037fd31-5815-4e2a-bd38-e260b007ccf6,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,5561.56,5546.91,0.002638,2022-06-05,2022-06-08,3,True,duplicate,clean
DUP-00045,e163dcb5-5e01-44e3-a7f5-b19c55752762,b037fd31-5815-4e2a-bd38-e260b007ccf6,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,5561.55,5546.91,0.002636,2022-06-07,2022-06-08,1,True,duplicate,clean
DUP-00046,be1d6aac-146b-408b-a4b3-c8b7bd0a9a2e,d7051b91-f5dc-4bf3-945b-5ea2d3d32a4f,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,5134.53,5172.73,0.007412,2022-06-13,2022-06-15,2,False,clean,clean
DUP-00047,75a723cc-951a-4b3a-9eb9-c3322518d9f0,abdd2e80-8758-44f4-a98d-d66699f3a6e9,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,11057.28,11063.97,0.000605,2022-06-27,2022-07-01,4,False,clean,clean
DUP-00048,ae91ac90-98f4-4f3f-bae5-b90959dd2ea5,1e3d0cb5-6756-4242-8ec6-c77fbe99740c,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,13207.97,13301.48,0.007055,2022-07-17,2022-07-17,0,False,clean,clean
DUP-00049,e9af8b9f-a629-45fb-9839-79b4c45f7b2f,46f31407-8e86-4284-9f18-b490a22f3e9e,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,4382.46,4341.65,0.009356,2022-07-19,2022-07-25,6,False,soft_anomaly,clean
DUP-00050,9d05fdd3-ce26-486e-8215-e2b917ad8d17,43fbcd7b-43ed-411a-916f-7e61f5e3b673,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,8517.2,8499.65,0.002063,2022-09-03,2022-09-10,7,False,clean,clean
DUP-00051,54df3b3e-3825-43c1-a4a9-df113453ef74,68934e1f-8086-41b8-842d-95b97885785e,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,7676.75,7657.01,0.002575,2022-09-17,2022-09-18,1,False,clean,clean
DUP-00052,2152947e-6ee7-4d98-845e-c9b34f9f8443,02ec2e57-e90b-427f-b715-f3279be256f4,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,10672.3,10679.49,0.000673,2022-09-30,2022-10-03,3,False,clean,clean
DUP-00053,0443b43a-cc06-4183-b508-742200c07c24,c72d3ebf-3fbb-41d7-9cd4-62693b30619b,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,8582.11,8598.98,0.001964,2022-10-04,2022-10-06,2,False,clean,soft_anomaly
DUP-00054,47b3b478-5a72-45e0-afb4-a7b0adf96ba1,d65a7d9c-e0fc-42c3-8fc8-b7a7fd39621a,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,7153.41,7085.64,0.009519,2022-10-08,2022-10-12,4,False,clean,soft_anomaly
DUP-00055,0c77d728-f4a1-442d-b2eb-9a3825ff3bb7,6ed5b758-6ab8-4101-aaaf-e35b72a4f827,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,10401.38,10424.72,0.002241,2022-11-23,2022-11-30,7,False,clean,clean
DUP-00056,6c3a69ba-4c55-4745-a571-071c1b393e58,4a9a1ae7-4e57-48df-9a98-23b7930153d1,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,7392.87,7368.91,0.003246,2022-11-28,2022-12-02,4,False,clean,clean
DUP-00057,6036e5ef-5034-4727-9dce-a08e7174beb6,3260f165-5cf3-4752-887e-dab41035b0ad,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,8278.71,8329.65,0.006134,2022-12-08,2022-12-12,4,False,soft_anomaly,clean
DUP-00058,988783b0-e230-415a-a3c6-ee7f4f773d2c,04194017-b987-4486-95bf-a666cb7daab3,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,5409.48,5360.08,0.009174,2022-12-17,2022-12-22,5,False,clean,clean
DUP-00059,6690b082-5cff-42cb-905a-e5c391c7630f,2960a64c-440f-459b-8264-fc84b1485669,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,6446.69,6430.46,0.002521,2022-12-24,2022-12-27,3,False,clean,clean
DUP-00060,6690b082-5cff-42cb-905a-e5c391c7630f,c8625930-70f7-4513-a39d-4b4d4f24f186,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,6446.69,6444.82,0.00029,2022-12-24,2022-12-29,5,False,clean,clean
DUP-00061,e429f465-62c2-44ce-8469-f44b2becc8eb,584d173e-e2c6-4621-b3d5-af0f2863e133,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,8426.58,8350.77,0.009037,2022-12-25,2022-12-29,4,False,clean,clean
DUP-00062,0716dc0f-d50b-47ac-bcb7-1e84b633ac34,d5e3350c-b1be-4adb-8be1-7500d3d6024a,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,8144.47,8214.07,0.008509,2022-12-27,2023-01-02,6,False,clean,clean
DUP-00063,2960a64c-440f-459b-8264-fc84b1485669,c8625930-70f7-4513-a39d-4b4d4f24f186,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,6430.46,6444.82,0.002231,2022-12-27,2022-12-29,2,False,clean,clean
DUP-00064,c15d4889-731f-4721-8942-7526018ad06c,f583031d-a95c-40c5-87c0-54cd80f3bbfa,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,5028.23,5005.14,0.004603,2023-01-06,2023-01-11,5,False,clean,clean
DUP-00065,fd481ae9-4f1a-48d0-ac17-7197e5a31ebe,e7846bd0-93e3-442f-bcda-af286cff1f09,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,12110.47,12104.06,0.000529,2023-01-09,2023-01-11,2,False,clean,clean
DUP-00066,becb5ec8-9aec-4f81-954a-e4d0dd33ea0e,93c7c9c4-32b3-4aa5-b665-e63fe849c5cf,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,7027.24,6986.68,0.005789,2023-01-12,2023-01-17,5,False,clean,clean
DUP-00067,cc232767-3d85-4d28-bad6-c0443b6b3309,1b6fb11e-fa19-4eaf-a300-5aeb11fb54e8,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,9569.94,9554.8,0.001583,2023-01-18,2023-01-22,4,False,clean,clean
DUP-00068,7562e801-7979-4293-84c5-f16217da73ad,ab11256f-832b-449c-988f-84c785e04464,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,4800.37,4794.22,0.001282,2023-01-21,2023-01-26,5,False,soft_anomaly,clean
DUP-00069,a1a7a60c-f9c0-4879-ad5d-7dce4edebf34,b05f6a3c-4cc5-471c-b303-a00f391ed2a0,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,10265.46,10250.55,0.001453,2023-02-27,2023-03-02,3,False,clean,clean
DUP-00070,3f8ba788-8349-4f88-bc79-19148280529d,8af52283-2706-4667-b567-45adfb212130,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,6989.93,6945.59,0.006364,2023-03-21,2023-03-26,5,False,clean,soft_anomaly
DUP-00071,383bc994-f64f-4de9-90cc-b377e991789a,ff62d74c-5bcb-47c5-b0a0-99635ab08a48,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,6579.25,6517.82,0.009381,2023-04-01,2023-04-05,4,False,clean,clean
DUP-00072,e7ac9ccd-1c62-4d1a-a84c-ac43b6902cde,3e521f81-8616-40b5-8d91-af22e4a0fdb6,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,5660.12,5637.74,0.003962,2023-04-03,2023-04-10,7,False,clean,clean
DUP-00073,b8034509-013d-4b8f-b00a-2feec88f3fac,0b1b833d-394f-4a27-93a0-c56a898e8e37,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,8423.64,8400.51,0.00275,2023-05-04,2023-05-08,4,False,clean,clean
DUP-00074,56cdff58-0a52-4e71-81e2-06e156f3e67c,1a18e2d0-3781-47bf-8812-7815f74f1d15,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,8136.69,8124.56,0.001492,2023-05-16,2023-05-19,3,False,clean,clean
DUP-00075,1a18e2d0-3781-47bf-8812-7815f74f1d15,13625c98-354d-468d-8273-9af76172d259,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,8124.56,8052.61,0.008895,2023-05-19,2023-05-26,7,False,clean,clean
DUP-00076,86a2ceaa-d3bf-4a64-89cc-80f0053e50eb,dae8c2b5-a330-42dd-b491-9114f30a3ca8,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,6628.53,6628.54,2e-06,2023-06-27,2023-06-29,2,True,duplicate,duplicate
DUP-00077,ea75b9f3-7dad-4030-99ea-792a7fd35c8f,e39033bb-bf65-484f-b540-fbfe284145bb,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,10399.21,10333.2,0.006368,2023-06-27,2023-06-28,1,False,clean,clean
DUP-00078,a46b94b4-7342-4504-83dd-a9009bb690f7,cf4cf6f1-4f79-48b4-bbd1-7190bca7ebbd,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,9194.5,9187.4,0.000772,2023-08-09,2023-08-11,2,False,clean,clean
DUP-00079,15276d25-6982-4fe3-b864-5c54a9ea2a11,ada82bef-987c-411e-9a22-5327d0bb4735,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,7527.37,7594.14,0.008831,2023-08-21,2023-08-26,5,False,clean,clean
DUP-00080,78ae89a5-e3db-4c2c-a23a-6e7683ac470d,7cc7ba24-9d17-4970-b80a-f6bec23d5ed1,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,5020.39,4987.94,0.006485,2023-09-17,2023-09-21,4,False,clean,clean
DUP-00081,d42e3873-d0ff-41a6-ae7a-f8f869060978,f0ceab73-7053-4688-a1e2-f5d0d9bbcffe,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,10533.01,10431.61,0.009673,2023-09-18,2023-09-19,1,False,clean,clean
DUP-00082,f0ceab73-7053-4688-a1e2-f5d0d9bbcffe,a0186716-4f61-4742-b467-d49a5b4a2f28,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,10431.61,10360.34,0.006856,2023-09-19,2023-09-22,3,False,clean,clean
DUP-00083,5ca1d099-5f3b-45e5-b794-35ceea9a779e,c63c9884-e504-4b53-8eba-426718701b23,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,4384.32,4400.16,0.003606,2023-09-28,2023-10-05,7,False,clean,clean
DUP-00084,7baab575-0c6d-400a-afe7-a5b80e03937a,e327202d-59c0-4c34-9717-e416a280aadf,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,5250.62,5246.15,0.000852,2023-10-03,2023-10-05,2,False,clean,clean
DUP-00085,e1ec432c-122c-468a-a273-b1315829f22a,21fea50c-38f8-4c0b-bd65-694b14de5d18,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,12184.92,12266.67,0.006687,2023-10-28,2023-10-30,2,False,clean,clean
DUP-00086,97d80715-0ae6-4d54-8a14-f5cdde7b1313,0877ef20-4fa4-4dc3-b8b2-974126d9b514,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,3271.32,3271.31,3e-06,2023-11-01,2023-11-05,4,True,duplicate,duplicate
DUP-00087,8d5a18fd-9cb3-4e4d-bd7e-d3495f4da4ac,a54e58db-5265-4a29-b422-ebcb2bafa2e6,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,9680.86,9711.86,0.003197,2023-11-21,2023-11-21,0,False,clean,clean
DUP-00088,daad5f29-c970-4fe1-89b8-bb6329255aa7,639fb337-6de9-4345-9d81-dd2861006c53,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,3502.95,3496.4,0.001872,2023-11-27,2023-12-02,5,False,clean,clean
DUP-00089,639fb337-6de9-4345-9d81-dd2861006c53,f9299862-6edb-466e-8039-4e190c0ca9f5,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,3496.4,3465.58,0.008854,2023-12-02,2023-12-08,6,False,clean,clean
DUP-00090,13015b4b-8057-4c8a-8964-325b27931cc2,72d9077e-4a8b-4d14-863f-e1f36682580c,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,7491.31,7430.43,0.00816,2023-12-10,2023-12-13,3,False,clean,clean
DUP-00091,72d9077e-4a8b-4d14-863f-e1f36682580c,9df54fbf-7f16-418c-abac-81f944791917,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,7430.43,7371.34,0.007984,2023-12-13,2023-12-19,6,False,clean,clean
DUP-00092,ee84f7b0-74e6-4524-aebc-e340100ecb0b,dfb7ef65-17d0-47f1-80d8-000e945328da,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,4736.26,4696.02,0.008532,2023-12-22,2023-12-23,1,False,clean,clean
DUP-00093,b7b6c9ae-a937-417c-8956-6102a8a9505a,0b5b531e-30af-4b02-a757-407b07c6f4bd,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,5967.85,5986.92,0.00319,2023-12-24,2023-12-31,7,False,clean,clean
DUP-00094,1e81f9d2-ccbc-4d6a-b8aa-854964eb578a,c2ac7e91-e4bc-4403-8c34-5e1beafa858d,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,5436.33,5418.51,0.003283,2023-12-29,2024-01-04,6,False,clean,clean
DUP-00095,456f63ce-978f-4b3a-9086-adf0a5db498f,1902a804-ed4b-4c4d-8ff9-73f647dec85a,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,13490.73,13522.3,0.002337,2024-01-31,2024-02-02,2,False,clean,clean
DUP-00096,7d265b3c-c98d-4355-a886-2900c1713190,ac7eee65-1bbf-4d11-a401-8fb02ab30a3a,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,10824.44,10783.76,0.003765,2024-02-11,2024-02-15,4,False,clean,clean
DUP-00097,75bc9545-6267-49b6-9d3e-18cd51e7bde4,1f2213e7-2178-481e-b561-038093a81f91,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,5025.1,5050.76,0.005093,2024-02-14,2024-02-17,3,False,clean,clean
DUP-00098,dee9f588-8fc9-4c36-87bc-0a450119bcc1,93808d43-3835-4579-9e3c-d34519a7b3cf,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,10385.06,10449.58,0.006194,2024-03-12,2024-03-13,1,False,clean,clean
DUP-00099,f1a250e6-8a35-4e35-875d-25ad32f4b710,c2e931f4-e6b4-4d10-b577-5ca507799333,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,3962.58,3970.69,0.002045,2024-03-16,2024-03-17,1,False,clean,soft_anomaly
DUP-00100,34ca4cfd-6078-4faa-b87f-0e642fa568e8,f567a60a-0113-42e8-a0c3-de4e7e5a7349,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,12211.3,12224.53,0.001083,2024-03-24,2024-03-26,2,False,clean,clean
DUP-00101,3498723b-a7ec-43f3-ada2-a5e689d87356,9e02eafd-aa1c-4df4-b26c-fc89f02e2930,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,9674.11,9643.03,0.003218,2024-04-05,2024-04-07,2,False,clean,clean
DUP-00102,1a5fb6cf-94cd-4729-b73e-f34451343a44,33a76c51-5403-446d-8e43-8ab35d1c37c8,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,6501.26,6501.27,2e-06,2024-04-15,2024-04-21,6,True,duplicate,duplicate
DUP-00103,eecf8a8d-e262-44f1-a101-4aaec4029664,775b8ffb-848b-4507-bf60-313619a49ccb,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,8679.66,8689.67,0.001153,2024-04-30,2024-04-30,0,False,clean,soft_anomaly
DUP-00104,eecf8a8d-e262-44f1-a101-4aaec4029664,e944b7cc-38b7-48f6-a6bb-ea336af30d81,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,8679.66,8715.44,0.004114,2024-04-30,2024-05-07,7,False,clean,clean
DUP-00105,775b8ffb-848b-4507-bf60-313619a49ccb,e944b7cc-38b7-48f6-a6bb-ea336af30d81,0cd4f0e6-b8ff-45d9-bd18-72640d1138af,8689.67,8715.44,0.002961,2024-04-30,2024-05-07,7,False,soft_anomaly,clean
